nama_parfum,brand,description,notes,url_foto,aroma_type,time,occasion,gender,shopee_link,tokopedia_link,tiktok_link,notes;;;;
Lavender is so connected to Provence that often farmers don't realize that it was introduced during the Roman invasion which gave this region the designation of Provincia Romana' from which its name derives..;;;;,,,,,,,,,,,,
Cashmeran,the molecule at the heart of the 05 series,is dry,radiant,warm and woody with an unexpected touch of pine resin. It's this vibrant quality that caused Geza Schoen to flash back to the Mediterranean,where he spent his childhood summers,and as a result Escentric 05 is truly a different kind of summer scent,infused with vivid,glowing warmth and the contrast of sun-baked plants and trees.;;;;,,,,
Isra & Miraj,sublime story of the Orient,tells of a voyage under the moonlight and an ascension to the 7th sky. This fragrance is the interpretation of a spiritual journey of hope,peace and fulfillment. An absolute quest wherein,sky after sky,the most precious raw materials are layered to create a perfume that is nothing short of perfection.;;;;,,,,,,,
Magnolia Grandiflora Michel is part of a pair of fragrances,both dedicated to Grandiflora's namesake blossom. An unusual debut for a fledgling brand,but a vibrant,emotional tribute to the story behind the scents,since the other magnolia was composed by the late Sandrine Videault,whose mentors were Michel's parents Edmond and ThÃ©rÃ¨se Roudnitska.;;;;,,,,,,,
Due to its rarity and cost,ambergris (grey amber),the aged and oxidized exudate from a whaleat once sweet,earthy,marine and animalicis largely found in synthetic form in perfume. But this almost mythic ingredient is in a 5% dose in Ambre Stone,adding a dreamy sensuousness to the edges of the fragrance's brightness. ;;;;,,,,,,,
Named in homage to Amine Kalfane,L'Atelier FranÃ§ais des MatiÃ¨res' partner in Comoros/Madagascar who provides both the vanilla and clove for the fragrance,Vanille d'Amine uses an oleoresin extraction whose olfactive profile of vanilla planifolia is quite different from the standard,with dark chocolate and plum facets. ;;;;,,,,,,,,,
Using both early and late-harvested crops of bergamot,the former imparting a very green quality and the latter a confectionary sweetness,Bergamote de G. Franco is combined with the sun-drenched honeyed mimosa flower,along with delicately sweet osmanthus,with its tea and apricot facets. In addition to the creaminess mimosa imparts,Kashmirin saffron gives Bergamote de G. Franco a leathery note,adding to the scent's subtle complexity. ;;;;,,,,,,
In the first act,vetiver's dry earthy qualities are intensified by gourmand notes of cacao absolute from the Ivory Coast and Venezuelan tonka. Combined with blond tobacco absolute from Turkey,and you're practically transported to an expensive cigar store in Santo Domingo.;;;;,,,,,,,,,,
In the second act  or woven throughout the first  a citrusy green,rose-like creamy floral quality of vetiver radiates out adding a delicate refinement to its earthy qualities.;;;;,,,,,,,,,,,
Due to jasmine's high cost,most perfumes use synthetic versions,which tend to smell sharp and linear. Jasmin de Cherifa's real jasmine will take you on a journey of the flower's scent life cycle and in the process,taking your breathe away...;;;;,,,,,,,,,
Cherifa was asked to use the flowers from their fields' early,middle,and late crops to provide the full olfactive spectrum of the jasmine they harvest from June to October. Early jasmine,from June and July,is fresh and fruity. It turns floral and creamy midway through,in August,maturing into an animalic,indolic beauty in September. And that,along with an Egyptian rose absolute centifolia and a creamy Indian sandalwood to sing in its chorus,is what you get.;;;;,,,
